"Fantasy Football Rankings — SYNTHETIC SAMPLE DATA — NOT REAL RANKINGS"
"Half PPR scoring. Generated for testing the draft assistant."

RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP,AVG.,BEST,WORST,STD.DEV
35,4,RB Sample 14,MIN,RB14,9,2,-5.2,33.3,30,35,3.9
36,4,QB Sample 06,LAC,QB6,5,1,+4.9,38.3,34,45,0.5
37,4,TE Sample 06,CLE,TE6,5,2,+3.6,39.0,37,43,2.1
38,4,WR Sample 12,BAL,WR12,13,4,+3,38.3,34,43,4.0
39,4,RB Sample 15,IND,RB15,12,4,-5.2,40.0,38,43,3.0
40,4,WR Sample 13,BUF,WR13,6,3,-2.8,38.7,32,44,0.4
41,5,RB Sample 16,CLE,RB16,5,5,-5.3,41.7,33,51,0.5
42,5,QB Sample 07,TB,QB7,8,4,-1.6,41.7,36,47,1.7
43,5,WR Sample 14,LAR,WR14,9,2,+0.3,44.3,37,53,1.4
44,5,TE Sample 07,NYG,TE7,8,5,-1.5,43.3,36,50,1.7
45,5,RB Sample 17,CHI,RB17,8,4,-4.7,47.7,43,55,3.4
46,5,WR Sample 15,ARI,WR15,12,3,-3.6,45.3,39,51,1.4
47,5,RB Sample 18,GB,RB18,11,1,+0.9,48.7,44,55,1.7
48,5,WR Sample 16,WAS,WR16,5,2,+0.3,49.3,44,56,2.9
49,5,QB Sample 08,LAR,QB8,11,5,-1.8,51.0,48,56,2.8
50,5,TE Sample 08,BUF,TE8,11,1,+0.5,51.7,45,60,2.1
51,6,RB Sample 19,CLE,RB19,14,5,+2,52.7,51,56,0.6
52,6,WR Sample 17,ATL,WR17,8,1,-4.7,54.0,49,61,4.3
53,6,RB Sample 20,NO,RB20,7,4,+5.5,52.0,47,56,1.6
54,6,WR Sample 18,PHI,WR18,11,1,+3.3,52.0,46,56,3.5
55,6,QB Sample 09,NO,QB9,14,4,+5.5,54.3,48,60,1.3
56,6,WR Sample 19,LV,WR19,14,4,-3.1,56.7,51,63,2.4
57,6,TE Sample 09,MIA,TE9,14,2,-5.8,58.0,51,66,0.6
58,6,RB Sample 21,SF,RB21,10,1,-2.5,58.7,58,60,2.8
59,6,WR Sample 20,TB,WR20,7,5,+6,58.0,54,61,3.6
60,6,RB Sample 22,LAR,RB22,13,2,-3.2,59.3,56,62,3.6
61,7,WR Sample 21,NYJ,WR21,10,5,+2,60.3,56,64,1.5
62,7,QB Sample 10,LAC,QB10,7,1,-2.8,61.3,60,62,3.5
63,7,TE Sample 10,TEN,TE10,7,3,-4.1,65.7,61,73,1.0
64,7,RB Sample 23,NYJ,RB23,6,3,+3.4,65.0,60,71,3.2
65,7,WR Sample 22,WAS,WR22,13,3,-1.4,65.0,62,68,1.3
66,7,RB Sample 24,TB,RB24,9,1,-5.6,65.0,63,66,1.3
67,7,WR Sample 23,DAL,WR23,6,2,+0.6,65.7,62,68,1.0
68,7,QB Sample 11,NE,QB11,10,5,-4.3,69.7,64,77,0.4
69,7,RB Sample 25,MIA,RB25,12,3,+2.8,67.7,62,72,1.1
70,7,WR Sample 24,IND,WR24,9,2,-1.6,72.0,69,77,4.5
71,8,TE Sample 11,CHI,TE11,10,4,+3.4,72.7,69,78,0.5
72,8,WR Sample 25,DET,WR25,12,5,+3.1,72.0,64,80,1.2
73,8,RB Sample 26,GB,RB26,5,5,-1.6,74.7,69,82,3.8
74,8,WR Sample 26,ATL,WR26,5,3,+3.5,74.7,68,82,4.3
75,8,TE Sample 12,PHI,TE12,13,5,+6,75.0,73,77,4.4
76,8,RB Sample 27,TB,RB27,8,4,+3.4,76.0,72,80,0.4
77,8,QB Sample 12,KC,QB12,13,3,+4.9,76.3,70,82,3.8
78,8,WR Sample 27,LV,WR27,8,4,-0.3,77.7,71,84,0.7
79,8,RB Sample 28,IND,RB28,11,2,-2,78.3,73,83,1.4
80,8,WR Sample 28,MIN,WR28,11,1,-4.4,82.3,77,90,4.4
81,9,WR Sample 29,DET,WR29,14,2,-2.9,82.7,76,91,2.7
82,9,TE Sample 13,MIN,TE13,6,3,+2.8,80.3,76,83,3.0
83,9,RB Sample 29,JAX,RB29,14,5,-2,81.0,75,85,2.6
84,9,QB Sample 13,CLE,QB13,6,1,+2.8,85.0,82,89,2.5
85,9,WR Sample 30,MIA,WR30,7,5,-0.9,84.0,78,89,1.7
86,9,RB Sample 30,ARI,RB30,7,4,+0.4,88.0,83,95,1.4
87,9,WR Sample 31,ATL,WR31,10,2,-2.7,86.7,83,90,3.6
88,9,TE Sample 14,DET,TE14,9,2,+2.6,88.3,86,91,3.5
89,9,RB Sample 31,DET,RB31,10,1,-0.4,90.0,86,95,2.3
90,9,WR Sample 32,WAS,WR32,13,3,+3.1,90.7,89,93,2.6
91,10,QB Sample 14,LAC,QB14,9,4,+4.7,93.3,89,100,2.2
92,10,WR Sample 33,BAL,WR33,6,2,-0.6,92.3,87,98,4.1
93,10,RB Sample 32,SF,RB32,13,5,-1.7,93.0,92,94,0.6
94,10,WR Sample 34,WAS,WR34,9,4,-1.7,96.3,93,102,4.2
95,10,TE Sample 15,WAS,TE15,12,4,+4.8,93.3,90,95,1.7
96,10,RB Sample 33,TEN,RB33,6,2,-4.2,97.7,91,106,2.1
97,10,QB Sample 15,PIT,QB15,12,4,+5.2,96.0,91,100,1.8
98,10,WR Sample 35,NE,WR35,12,3,+5.1,99.0,96,103,3.1
99,10,WR Sample 36,NE,WR36,5,4,+1.9,97.7,92,102,2.5
100,10,RB Sample 34,CLE,RB34,9,2,+0.6,101.3,99,105,1.1
101,11,WR Sample 37,MIA,WR37,8,4,-1.9,101.3,100,103,2.3
102,11,TE Sample 16,TB,TE16,5,4,-0.8,104.0,101,109,3.3
103,11,RB Sample 35,DET,RB35,12,4,+5.2,102.0,95,108,2.3
104,11,QB Sample 16,IND,QB16,5,1,+1.3,105.7,102,111,1.5
105,11,WR Sample 38,KC,WR38,11,5,+2.6,108.0,104,115,3.1
106,11,RB Sample 36,NO,RB36,5,5,+5.5,106.3,103,110,3.9
107,11,WR Sample 39,NYJ,WR39,14,2,-1.6,109.3,105,116,2.3
108,11,TE Sample 17,PIT,TE17,8,4,+1.1,108.3,101,116,3.0
109,11,WR Sample 40,PIT,WR40,7,4,+4.9,109.3,102,117,0.5
110,11,RB Sample 37,BUF,RB37,8,4,-1.3,108.7,105,111,1.7
111,12,QB Sample 17,CAR,QB17,8,5,-1.3,112.0,108,117,4.2
112,12,WR Sample 41,LV,WR41,10,5,+4.6,114.0,112,118,3.7
113,12,RB Sample 38,CLE,RB38,11,3,+0.8,111.0,105,115,1.1
114,12,WR Sample 42,NYJ,WR42,13,1,-4.7,114.3,109,120,3.8
115,12,TE Sample 18,GB,TE18,11,3,+0.3,117.7,114,124,1.5
116,12,WR Sample 43,MIN,WR43,6,3,+6,118.0,112,126,3.4
117,12,RB Sample 39,SF,RB39,14,2,+3,119.3,114,127,1.1
118,12,QB Sample 18,ARI,QB18,11,2,-2.8,117.7,110,125,1.9
119,12,WR Sample 44,DAL,WR44,9,4,-3.3,118.3,114,122,1.7
120,12,RB Sample 40,HOU,RB40,7,3,-5.4,122.7,119,129,2.8
121,13,WR Sample 45,ARI,WR45,12,4,-2.7,120.0,117,122,1.5
122,13,TE Sample 19,NE,TE19,14,5,-2.6,121.7,114,129,3.7
123,13,WR Sample 46,ARI,WR46,5,3,+5.9,125.3,122,131,2.9
124,13,RB Sample 41,CIN,RB41,10,2,-4.3,122.3,118,125,2.6
125,13,QB Sample 19,CAR,QB19,14,2,-0.1,126.0,125,128,4.2
126,13,WR Sample 47,HOU,WR47,8,3,+4.6,126.3,122,131,2.9
127,13,RB Sample 42,IND,RB42,13,4,-2.2,126.7,125,128,3.1
128,13,WR Sample 48,ARI,WR48,11,2,+5.7,128.0,128,128,2.6
129,13,TE Sample 20,CHI,TE20,7,5,+1.6,131.0,128,136,0.6
130,13,WR Sample 49,DAL,WR49,14,1,+4.4,128.7,124,132,2.9
131,14,RB Sample 43,NYJ,RB43,6,2,-5.7,130.0,128,131,2.7
132,14,QB Sample 20,GB,QB20,7,2,+5.2,133.3,127,141,3.3
133,14,WR Sample 50,MIN,WR50,7,4,-1.6,135.7,133,141,2.1
134,14,RB Sample 44,IND,RB44,9,4,-4.8,134.7,131,139,3.2
135,14,TE Sample 21,CLE,TE21,10,1,+0.9,134.3,129,139,1.8
136,14,WR Sample 51,LV,WR51,10,2,+5.6,138.3,133,146,0.7
137,14,WR Sample 52,PIT,WR52,13,5,+1.3,139.3,137,144,4.2
138,14,RB Sample 45,JAX,RB45,12,5,+0,138.0,137,139,1.9
139,14,QB Sample 21,ATL,QB21,10,1,+0.1,138.0,134,141,2.2
140,14,WR Sample 53,MIA,WR53,6,4,-1.9,140.0,133,147,0.7
141,15,TE Sample 22,NE,TE22,13,4,+5.6,140.0,133,146,1.4
142,15,RB Sample 46,LV,RB46,5,4,-1.4,143.3,139,149,2.9
143,15,WR Sample 54,BUF,WR54,9,3,-2.9,145.3,142,151,4.0
144,15,WR Sample 55,SEA,WR55,12,3,-4.7,142.7,139,145,0.6
145,15,QB Sample 22,WAS,QB22,13,3,+3.6,147.3,143,154,4.5
146,15,RB Sample 47,BAL,RB47,8,3,-4,146.0,141,151,1.1
147,15,WR Sample 56,JAX,WR56,5,3,+4.2,146.0,142,149,0.4
148,15,TE Sample 23,SF,TE23,6,5,+0.8,150.7,148,156,2.7
149,15,RB Sample 48,DAL,RB48,11,3,-4.7,149.0,143,155,1.2
150,15,WR Sample 57,DAL,WR57,8,4,-5.1,153.0,150,159,3.0
151,16,WR Sample 58,NYJ,WR58,11,2,-4.1,151.7,151,153,0.9
152,16,QB Sample 23,NYG,QB23,6,2,-0.5,153.3,150,158,2.1
153,16,RB Sample 49,LAR,RB49,14,3,-0.8,152.3,151,153,1.4
154,16,WR Sample 59,SEA,WR59,14,5,-2,154.0,150,158,2.7
155,16,TE Sample 24,SF,TE24,9,3,-1.6,157.3,155,162,3.4
156,16,RB Sample 50,TEN,RB50,7,3,-1.9,155.0,148,161,0.4
157,16,WR Sample 60,PIT,WR60,7,5,-5.5,154.7,150,157,3.1
158,16,WR Sample 61,NYJ,WR61,10,3,+5.5,159.3,155,165,1.7
159,16,QB Sample 24,NYG,QB24,9,4,+1.7,160.7,154,169,2.7
160,16,RB Sample 51,HOU,RB51,10,2,+3,160.7,159,163,3.6
161,17,WR Sample 62,MIA,WR62,13,3,-0.1,160.0,155,164,2.3
162,17,WR Sample 63,DEN,WR63,6,3,+4.5,161.3,155,167,3.4
163,17,RB Sample 52,GB,RB52,13,3,+5.4,162.0,156,167,0.6
164,17,WR Sample 64,LAR,WR64,9,2,-3.1,163.3,162,164,0.8
165,17,RB Sample 53,PHI,RB53,6,5,+0.6,167.3,165,172,1.4
166,17,WR Sample 65,NYG,WR65,12,5,-3.5,164.3,160,167,4.2
167,17,WR Sample 66,CAR,WR66,5,4,+0.8,168.3,164,174,0.5
168,17,RB Sample 54,JAX,RB54,9,4,-1.9,168.3,163,174,0.9
169,17,WR Sample 67,LAR,WR67,8,5,-3.9,169.3,167,172,1.6
170,17,RB Sample 55,KC,RB55,12,1,-0.3,169.7,167,172,3.9
171,18,WR Sample 68,TEN,WR68,11,5,-3.5,168.3,163,171,2.0
172,18,WR Sample 69,CLE,WR69,14,4,-1.7,173.7,171,178,1.9
173,18,RB Sample 56,WAS,RB56,5,1,+3.4,175.3,171,182,0.5
174,18,WR Sample 70,HOU,WR70,7,5,+0.9,173.0,168,177,2.5
175,18,RB Sample 57,LV,RB57,8,3,-4.3,173.7,169,177,1.4
176,18,RB Sample 58,BUF,RB58,11,5,+2.8,177.0,169,186,2.9
177,18,RB Sample 59,NYJ,RB59,14,1,+1.1,179.3,177,184,3.1
178,18,RB Sample 60,DAL,RB60,7,1,+5.6,177.3,175,179,4.0
179,18,DST Sample 01,HOU,DST1,11,4,-2.7,180.0,173,188,3.1
180,18,K Sample 01,NYJ,K1,9,3,-2.1,181.3,178,186,4.3
181,19,DST Sample 02,NYG,DST2,14,3,-0.9,180.7,180,181,2.2
182,19,K Sample 02,NO,K2,12,2,+4.5,181.7,175,188,0.6
183,19,DST Sample 03,LV,DST3,7,3,+2.3,185.0,180,192,3.4
184,19,K Sample 03,NE,K3,5,1,-3.2,184.7,176,194,1.6
185,19,DST Sample 04,DAL,DST4,10,1,-1.8,186.7,183,192,1.5
186,19,K Sample 04,CLE,K4,8,4,+1.3,185.7,180,191,2.2
187,19,DST Sample 05,SF,DST5,13,1,-0.9,188.0,183,194,4.3
188,19,K Sample 05,HOU,K5,11,2,+2,187.7,184,191,2.5
189,19,DST Sample 06,CAR,DST6,6,3,-5.2,187.3,183,190,3.5
190,19,K Sample 06,JAX,K6,14,2,-3,190.7,189,193,3.1
191,20,DST Sample 07,MIA,DST7,9,4,-4.8,191.3,185,198,2.8
192,20,K Sample 07,HOU,K7,7,1,+2.5,191.3,184,198,2.8
193,20,DST Sample 08,DEN,DST8,12,5,+6,193.0,189,197,2.2
194,20,K Sample 08,NO,K8,10,2,-1.3,196.3,192,203,2.7
195,20,DST Sample 09,DAL,DST9,5,3,+1.7,195.7,192,200,2.6
196,20,K Sample 09,LAC,K9,13,4,-3.3,196.3,195,198,4.1
197,20,DST Sample 10,HOU,DST10,8,2,+2.3,196.3,193,199,1.2
198,20,K Sample 10,JAX,K10,6,4,-2.4,196.0,191,199,3.6
199,20,DST Sample 11,LAR,DST11,11,3,-0.3,200.0,195,206,3.7
200,20,K Sample 11,ATL,K11,9,5,+2.8,200.7,197,205,0.7
201,20,DST Sample 12,CLE,DST12,14,2,-0.1,201.0,199,203,2.4
202,20,K Sample 12,JAX,K12,12,5,-1.6,202.7,196,210,2.6
203,20,DST Sample 13,CLE,DST13,7,5,-4.1,204.0,202,207,1.9
204,20,K Sample 13,IND,K13,5,3,+5.1,205.3,201,211,1.8
205,20,DST Sample 14,DAL,DST14,10,2,-5.5,206.3,199,215,2.3
206,20,K Sample 14,TEN,K14,8,4,+0.7,204.7,201,207,3.2

Rankings powered by SYNTHETIC DATA - do not draft from this file
